SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Another Brick In The Wall,Pink Floyd,,Rock,1970s,"Dm, G, F, C",4
Blitzkrieg Bop,Ramones,,Rock,1970s,"F, C, G, Dm",4
Do It Again,The Beach Boys,,Rock,1960s,"C, F, G, Dm",4
"Ruby, Don't Take Your Love To Town",Kenny Rogers,,Rock,1970s,"C, F, G, Dm",4
Behind These Hazel Eyes,Kelly Clarkson,,Rock,2000s,"Dm, F, C, G",4
Blue Monday,New Order,,Elect,1980s,"F, C, Dm, G",4
Born This Way,Lady Gaga,,Pop,2010s,"Dm, G, F, C",4
Burn It Down,Linkin Park,,Elect,2010s,"Dm, F, C, G",4
Colder Weather,Zac Brown Band,,Folk,2010s,"F, C, G, Dm",4
Higher,Taio Cruz,,Pop,2010s,"Dm, F, C, G",4
Mean,Taylor Swift,,Rock,2010s,"C, G, Dm, F",4
Over You,Miranda Lambert,,Folk,2010s,"C, F, G, Dm",4
Wide Awake,Katy Perry,,Pop,2010s,"Dm, F, G, C",4
You're Still The One,Shania Twain,,Rock,1990s,"C, F, G, Dm",4
Drift Away,Dobie Gray,,Soul,1970s,"F, C, Dm, G",4
Fire On The Mountain,The Marshall Tucker Band,,Rock,1970s,"Dm, F, C, G",4
I Can't Help Myself,Four Tops,,Soul,1960s,"G, F, C, Dm",4
If We Make It Through December,Merle Haggard,,Folk,1970s,"C, F, Dm, G",4
Just When I Needed You Most,Randy VanWarmer,,Soul,1970s,"C, F, Dm, G",4
Addicted,Simple Plan,,Rock,2000s,"C, F, G, Dm",4
Drift Away,Uncle Kracker,,Rock,2000s,"F, C, Dm, G",4
Everybody Talks,Neon Trees,,Rock,2010s,"C, F, G, Dm",4
I Hope You Dance,Lee Ann Womack,,Folk,2000s,"Dm, F, C, G",4
Jealousy,Natalie Merchant,,Rock,1990s,"G, F, C, Dm",4
Lately,Divine,,Soul,1990s,"C, G, Dm, F",4
My Happy Ending,Avril Lavigne,,Rock,2000s,"Dm, F, C, G",4
Praise You,Fatboy Slim,,Elect,1990s,"F, C, G, Dm",4
Pumped Up Kicks,Foster The People,,Elect,2010s,"Dm, F, C, G",4
Send Me An Angel,Real Life,,Elect,1980s,"Dm, F, C, G",4
Soak Up The Sun,Sheryl Crow,,Pop,2000s,"C, G, F, Dm",4
Stuck Like Glue,Sugarland,,Rock,2010s,"C, G, F, Dm",4
Want U Back,Cher Lloyd,,Pop,2010s,"C, G, Dm, F",4
And The Grass Won't Pay No Mind,Elvis Presley,,Rock,1960s,"C, G, F, Dm",4
And The Grass Won't Pay No Mind,Neil Diamond,,Pop,1960s,"C, G, F, Dm",4
Annies Other Song,John Denver,,Pop,1970s,"C, F, G, Dm",4
Another Brick In The Wall Part 2,Pink Floyd,,Rock,1970s,"Dm, G, F, C",4
"Another Brick In The Wall, Part 2",Pink Floyd,,Rock,1970s,"Dm, G, F, C",4
Baby Face,Lou Reed,,Rock,1970s,"Dm, C, G, F",4
Danny Boy,Johnny Cash,,Rock,1960s,"C, F, Dm, G",4
Dear Father Jonathan Livingston Seagull Suite,Neil Diamond,,Rock,1970s,"C, Dm, F, G",4
Four Strong Winds,Neil Young,,Rock,1970s,"C, Dm, G, F",4
Friend Of The Devil,Grateful Dead,,Rock,1970s,"C, F, G, Dm",4
He's A Bad Boy,Carole King,,Pop,1960s,"C, Dm, F, G",4
