SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Feel So Close,Calvin Harris,,Elect,2010s,"E, C, G, Am",4
I Kissed A Girl,Katy Perry,,Rock,2000s,"E, C, G, Am",4
Bulletproof,La Roux,,Pop,2000s,"E, Am, C, G",4
Five Years,David Bowie,,Rock,1970s,"G, E, Am, C",4
Ain't No Sunshine,Michael Bolton,,Soul,1990s,"Am, E, G, C",4
Dance Little Liar,Arctic Monkeys,,Rock,2000s,"Am, C, E, G",4
Devil Pray,Madonna,,Rock,2010s,"Am, C, G, E",4
Everybody Loves Me,Onerepublic,,Rock,2000s,"C, Am, E, G",4
High Hopes,Bruce Springsteen,,Rock,1990s,"Am, G, C, E",4
New Flame,Chris Brown,,HipHop,2010s,"E, C, Am, G",4
"Oops, I Did It Again",Britney Spears,,Pop,2000s,"E, G, Am, C",4
Smoke And Mirrors,Imagine Dragons,,Rock,2010s,"C, G, Am, E",4
St Anger,Metallica,,Rock,2000s,"Am, C, G, E",4
The Best That I Can,Vance Joy,,Rock,2010s,"E, G, Am, C",4
Ain't No Sunshine,Al Jarreau,,Soul,1970s,"Am, E, G, C",4
A La Sombra De Mi Mama,Leo Dan,,Pop,1960s,"Am, E, C, G",4
Amanecer Y La Espera,Leonardo Favio,,Latin,1960s,"Am, E, G, C",4
Ballade Van De Vriendinnen Van Een Nacht,Boudewijn de Groot,,Folk,1960s,"Am, E, C, G",4
Children Of The Revolution,T. Rex,,Rock,1970s,"E, G, C, Am",4
Die Moorsoldaten,Hannes Wader,,Pop,1970s,"Am, G, E, C",4
Es War An Einem Sommertag,Arno Clauss,,Pop,1970s,"C, G, Am, E",4
Field Day For The Sundays,Wire,,Rock,1970s,"Am, C, G, E",4
Galaxy,T Rex,,Rock,1970s,"E, G, C, Am",4
Galaxy,T. Rex,,Rock,1970s,"E, G, C, Am",4
Gunga Din,Jim Croce,,Folk,1960s,"Am, G, C, E",4
Inside Out,999,,Rock,1970s,"E, G, Am, C",4
In The Heat Of The Summer,Judy Collins,,Folk,1960s,"Am, G, C, E",4
It's Gonna Be All Right,Gerry And The Pacemakers,,Pop,1960s,"E, Am, C, G",4
Jitterbug Love,T. Rex,,Rock,1970s,"E, G, C, Am",4
Kim Ne Derse Desin,Ajda Pekkan,,Pop,1970s,"E, Am, G, C",4
María Del Campo,León Gieco,,Folk,1970s,"Am, G, C, E",4
O Basanti,Lata Mangeshkar,,Sndtrk,1970s,"Am, G, E, C",4
Operators Manual,Buzzcocks,,Rock,1970s,"Am, E, C, G",4
Puntillas De Auroras Tristes,José Larralde,,Latin,1970s,"Am, E, G, C",4
Rambleaway,Shirley Collins,,Folk,1960s,"Am, C, G, E",4
Somliga Går Med Trasiga Skor,Cornelis Vreeswijk,,Folk,1960s,"Am, G, C, E",4
Somliga Gr I Trasiga Skor,Cornelis Vreeswijk,,Folk,1960s,"Am, G, C, E",4
The Peat,Pete Seeger,,Folk,1960s,"Am, E, C, G",4
Time Machine,Mick Softley,,Rock,1970s,"Am, E, G, C",4
96 Degrees,Third World,,Carib,2010s,"C, G, Am, E",4
Acima Do Sol,Skank,,Rock,2000s,"Am, C, G, E",4
Alhajita,Quique González,,Rock,2000s,"Am, C, G, E",4
Alla Lskar Dig,Dia Psalma,,Rock,1990s,"Am, G, C, E",4
All You Have To Offer,Kurt Nilsen,,Rock,2000s,"Am, E, C, G",4
Amerika,Rammstein,,Rock,2000s,"Am, C, G, E",4
Amore Povero,Dutch Nazari,,HipHop,2010s,"Am, C, G, E",4
A Thousand Bees,Sara Lov,,Folk,2000s,"E, Am, G, C",4
Bar The Door Casey,The Rumjacks,,Folk,2010s,"Am, E, C, G",4
Believe In Love,Scorpions,,Rock,1980s,"E, C, G, Am",4
Better Run,Dub Incorporation,,Elect,2010s,"Am, G, C, E",4
Black Friday Rule,Flogging Molly,,Rock,1990s,"Am, C, G, E",4
Botellas De Mar,Real de Catorce,,Rock,1980s,"Am, C, G, E",4
Camina Chiquilla,Gianluca Grignani,,Pop,1990s,"C, G, E, Am",4
Circle Of Friends,Neutral Milk Hotel,,Rock,1990s,"Am, C, G, E",4
Clean Jeans,Sports,,Rock,2010s,"C, Am, E, G",4
Comfort Epershand Control,Days N' Daze,,Rock,2010s,"Am, C, G, E",4
Crickets,Wild Sweet Orange,,Rock,2000s,"Am, C, G, E",4
