SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Have You Ever Seen The Rain,Creedence Clearwater Revival,,Rock,1970s,"G, D, C, G/F#, Em",5
Collide,Howie day,,Rock,2000s,"G, G/F#, Em, C, D",5
Cowboys And Angels,Dustin Lynch,,Folk,2010s,"Em, D, G, C, G/F#",5
Wonderful,Everclear,,Rock,2000s,"G/F#, G, D, C, Em",5
Congratulations,The Rolling Stones,,Rock,1960s,"G, G/F#, Em, C, D",5
Call On Me,Lou Reed,,Rock,2000s,"G, C, D, Em, G/F#",5
In My Defence,Queen,,Rock,1990s,"G, Em, C, D, G/F#",5
Save It For A Rainy Day,Kenny Chesney,,Folk,2010s,"G, G/Gb, Em, D, C",5
Stole My Heart,One Direction,,Rock,2010s,"G, C, Em, D, G/F#",5
Telling Stories,Tracy Chapman,,Rock,2000s,"Em, C, G, D, G/F#",5
That Thing We Do,Blake Shelton,,Folk,2010s,"G, Em, C, D, G/F#",5
The Ghost Of Tom Joad,Bruce Springsteen,,Rock,1990s,"Em, G, D, C, G/F#",5
The One,Kodaline,,Rock,2010s,"G, D, C, G/F#, Em",5
Tin Man,Miranda Lambert,,Folk,2010s,"G, C, D, G/F#, Em",5
To Mg Wherever She May Be,John Mellencamp,,Rock,1980s,"C, G, Em, D, G/F#",5
Young Volcanoes,Fall Out Boy,,Rock,2010s,"Em, C, G, D, G/F#",5
Blowing In the Wind,Joan Baez,,Folk,1960s,"G, C, Em, D, G/F#",5
Capitán Sueños,Pastoral,,Rock,1970s,"G, Em, C, D, G/F#",5
Congratulations,Rolling Stones,,Rock,1960s,"G, G/F#, Em, C, D",5
Couldn't Do Nothing Right,Rosanne Cash,,Folk,1970s,"G, D, C, Em, G/F#",5
Couldn't Do Nothing Right,Roseanne Cash,,Folk,1970s,"G, D, C, Em, G/F#",5
Couldnt Do Nothing Right,Rosanne Cash,,Folk,1970s,"G, D, C, Em, G/F#",5
Couldnt Do Nothing Right,Roseanne Cash,,Folk,1970s,"G, D, C, Em, G/F#",5
Down In The Willow Garden,Art Garfunkel,,Rock,1970s,"C, G, Em, D, G/F#",5
10 Am Gare Du Nord,Keaton Henson,,Rock,2010s,"Em, G/F#, G, C, D",5
17,Cross Canadian Ragweed,,Folk,2000s,"G, C, D, G/F#, Em",5
1970 Monte Carlo,Bastard Sons Of Johnny Cash,,Folk,2000s,"G, C, D, G/F#, Em",5
441 Am Sexual Revolution,Roger Waters,,Rock,1980s,"Em, C, D, G, G/F#",5
60 Thompson,Razorlight,,Rock,2000s,"D, Em, C, G, G/F#",5
A Dark Eye,The Handsome Family,,Rock,2000s,"G, D, C, G/F#, Em",5
All I Wanted,Matthew Ryan,,Rock,2010s,"Em, D, C, G, G/F#",5
All The Miles,Django Walker,,Folk,2000s,"G, Em, C, D, G/F#",5
Almost Doesn't Count,Star Room Boys,,Folk,1990s,"C, D, G, Em, G/F#",5
Always Forever,Phil Wickham,,Pop,2000s,"G, G/F#, Em, D, C",5
Arkansas Blues,Hayes Carll,,Folk,2000s,"G, C, D, G/F#, Em",5
Aunque Tú No Lo Sepas,Enrique Urquijo,,Rock,1990s,"C, D, G, Em, G/F#",5
Barne Tv,Luxus Leverpostei,,Rock,1990s,"G, D, C, G/F#, Em",5
Black Eyed Suzy,Justin Townes Earle,,Folk,2000s,"G, Em, C, D, G/F#",5
Blowin In The Wind,Joan Baez,,Rock,1990s,"G, C, Em, D, G/F#",5
