SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Club Can't Handle Me,Flo Rida,,Elect,2010s,"C, F, Em, Am",4
Look At Me Now,Chris Brown,,HipHop,2010s,"C, Em, Am, F",4
Secrets,Onerepublic,,Rock,2000s,"C, Em, Am, F",4
Whatcha Say,Jason Derulo,,Soul,2000s,"Em, F, C, Am",4
People Get Ready,The Impressions,,Soul,1960s,"C, Am, F, Em",4
Decode,Paramore,,Rock,2000s,"Am, Em, F, C",4
I Drove All Night,Cyndi Lauper,,Rock,1980s,"C, F, Am, Em",4
Price Tag,Jessie J,,Pop,2010s,"C, Em, Am, F",4
Use Somebody,Kings of Leon,,Rock,2000s,"C, Em, F, Am",4
Big Iron,Johnny Cash,,Folk,1970s,"Am, Em, C, F",4
Soldiers,James Taylor,,Rock,1970s,"C, F, Am, Em",4
All Is Full Of Love,Björk,,Pop,1990s,"Em, C, F, Am",4
Alone,Kelly Clarkson,,Rock,2010s,"Am, F, C, Em",4
Ave Mary A,P!nk,,Rock,2000s,"Am, C, Em, F",4
Bad Meets Evil,Eminem,,HipHop,1990s,"C, Em, Am, F",4
Can't Let Go,Adele,,Soul,2010s,"C, F, Am, Em",4
Club Cant Handle Me,Flo Rida,,Elect,2000s,"C, F, Em, Am",4
Diamond Joe,James Taylor,,Folk,2010s,"Am, C, F, Em",4
First Love,Adele,,Soul,2000s,"Am, C, Em, F",4
Gravity,Coldplay,,Rock,2000s,"C, Am, Em, F",4
Hearing Voices,OneRepublic,,Rock,2000s,"C, Am, Em, F",4
Holyfield,Post Malone,,HipHop,2010s,"F, C, Em, Am",4
Kill Em With Kindness,Selena Gomez,,Pop,2010s,"Am, F, C, Em",4
Let Your Tears Fall,Kelly Clarkson,,Pop,2010s,"C, Em, Am, F",4
Lighters,Eminem,,HipHop,2010s,"C, Em, Am, F",4
Like I'm Going To Lose You,Meghan Trainor,,Pop,2010s,"C, Em, Am, F",4
Like I'm Gonna Lose You,Meghan Trainor,,Soul,2010s,"C, Em, Am, F",4
Like Im Gonna Lose You,Meghan Trainor,,Pop,2010s,"C, Em, Am, F",4
Make Love In This Club,Usher,,HipHop,2000s,"C, Em, Am, F",4
Make You Feel Better,Red Hot Chili Peppers,,Rock,2000s,"Am, Em, F, C",4
Malibu,Miley Cyrus,,Pop,2010s,"C, F, Em, Am",4
Moment Of Surrender,U2,,Pop,2000s,"Am, F, C, Em",4
Naked,James Arthur,,Pop,2010s,"C, Em, Am, F",4
Nine In The Afternoon,Panic! At the Disco,,Rock,2000s,"F, C, Am, Em",4
Northern Downpour,Panic! At the Disco,,Rock,2000s,"C, F, Am, Em",4
Ode To My Family,The Cranberries,,Rock,1990s,"C, Am, Em, F",4
Peggy-O,Grateful Dead,,Rock,1990s,"C, F, Am, Em",4
Power,Kanye West,,HipHop,2010s,"Am, C, F, Em",4
Remind Me To Forget,Kygo,,Pop,2010s,"Am, C, F, Em",4
She Looks So Perfect,5 Seconds Of Summer,,Pop,2010s,"C, Em, Am, F",4
She's Got A Way With Words,Blake Shelton,,Folk,2010s,"C, Em, Am, F",4
Shes Got A Way With Words,Blake Shelton,,Folk,2010s,"C, Em, Am, F",4
Someone,Kelly Clarkson,,Pop,2010s,"C, Em, Am, F",4
The Fall,Imagine Dragons,,Rock,2010s,"C, Em, Am, F",4
