SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Angel,Aretha Franklin,,Soul,1970s,"G, C, Am, F",4
Burning Love,Elvis Presley,,Rock,1960s,"C, F, G, Am",4
Come Sail Away,Styx,,Rock,1970s,"C, G, Am, F",4
Desiree,Neil Diamond,,Pop,1970s,"Am, C, F, G",4
Dreaming,Blondie,,Rock,1970s,"C, F, G, Am",4
Dreams,Fleetwood Mac,,Rock,1970s,"Am, G, F, C",4
D'Yer Mak'er,Led Zeppelin,,Rock,1970s,"C, Am, F, G",4
Have You Ever Seen The Rain,Creedence Clearwater Revival,,Rock,1970s,"Am, F, C, G",4
Heat Wave,Linda Ronstadt,,Pop,1970s,"C, F, G, Am",4
Let It Be,The Beatles,,Rock,1960s,"C, G, Am, F",4
Rocky Mountain High,John Denver,,Rock,1970s,"C, F, G, Am",4
Wonderful Tonight,Eric Clapton,,Blues,1970s,"C, G, Am, F",4
21 Guns,Green Day,,Rock,2000s,"Am, F, C, G",4
All The Right Moves,OneRepublic,,Rock,2000s,"Am, G, C, F",4
Always,Bon Jovi,,Rock,1990s,"C, Am, F, G",4
Angel of harlem,U2,,Rock,1980s,"C, F, G, Am",4
Baby,Justin Bieber,,Pop,2000s,"C, Am, F, G",4
Baby Jane,Rod Stewart,,Pop,1980s,"C, G, Am, F",4
Back To December,Taylor Swift,,Rock,2010s,"C, Am, F, G",4
Bless The Broken Road,Rascal Flatts,,Rock,2000s,"C, G, Am, F",4
Break Your Heart,Taio Cruz,,Pop,2000s,"Am, F, C, G",4
California Gurls,Katy Perry,,Pop,2010s,"Am, F, C, G",4
Calling All Angels,Train,,Rock,2000s,"G, C, F, Am",4
Call Me Maybe,Carly Rae Jepsen,,Pop,2010s,"F, C, G, Am",4
Come Over,Kenny Chesney,,Folk,2010s,"Am, F, C, G",4
Dirt Road Anthem,Jason Aldean,,Folk,2010s,"Am, G, F, C",4
Disturbia,Rihanna,,HipHop,2000s,"Am, C, G, F",4
Don't Let Me Get Me,Pink,,Rock,2000s,"C, Am, G, F",4
Don't Stop Believin',Journey,,Rock,1980s,"C, G, Am, F",4
Drink In My Hand,Eric Church,,Folk,2010s,"C, Am, F, G",4
Firework,Katy Perry,,Pop,2010s,"C, G, Am, F",4
Fly,Nicki Minaj,,HipHop,2010s,"Am, F, C, G",4
Friday I'm In Love,The Cure,,Rock,1990s,"Am, C, F, G",4
Getcha Back,The Beach Boys,,Rock,1980s,"G, C, Am, F",4
Give Me Everything,Pitbull,,Elect,2010s,"C, F, Am, G",4
Give Your Heart A Break,Demi Lovato,,Soul,2010s,"F, C, Am, G",4
Good Feeling,Flo Rida,,HipHop,2010s,"Am, C, G, F",4
Good Girl,Carrie Underwood,,Folk,2010s,"Am, C, G, F",4
"Hey, Soul Sister",Train,,Rock,2000s,"C, G, Am, F",4
Hey Ya!,Outkast,,HipHop,2000s,"C, F, G, Am",4
