SONG,ARTIST,VID,GENRE,DECADE,Chords,#
I Will Always Love You,Whitney Houston,,Soul,1990s,"C, G/B, Am, G, F, C/E, Dm",7
Heat Of The Moment,Asia,,Rock,1980s,"G, Am, F, C, C/E, G/B, Dm",7
Save You,Kelly Clarkson,,Rock,2000s,"C, G/B, Am, G, F, C/E, Dm",7
The downester alexa,Billy Joel,,Pop,1980s,"C, G, Am, F, Dm, C/E, G/B",7
The Wolf,Mumford & Sons,,Pop,2010s,"C, Dm, Am, F, G, C/E, G/B",7
At The End Of A Gun,Hot Water Music,,Rock,1990s,"C, G, F, C/E, Dm, Am, G/B",7
A Unção de Deus,Cassiane,,Soul,2010s,"Am, F, C, G, Dm, G/B, C/E",7
Called Me Higher,All Sons & Daughters,,Folk,2010s,"C, F, Am, Dm, G/B, C/E, G",7
Closer,Amanda Cook,,Rock,2010s,"F, G, Am, C/E, C, G/B, Dm",7
Counting Stars,Augustana,,Rock,2010s,"C, F, G, Dm, G/B, C/E, Am",7
Daqui Pra Frente,Renato Vianna,,Folk,2010s,"Am, F, C, G, Dm, C/E, G/B",7
Do Everything,Steven Curtis,,Pop,2010s,"C, G, Dm, F, Am, C/E, G/B",7
Do Everything,Steven Curtis Chapman,,Pop,2010s,"C, G, Dm, F, Am, C/E, G/B",7
Double Crossed,Face To Face,,Rock,2010s,"C, Am, F, G, Dm, G/B, C/E",7
Gold Steps,Neck Deep,,Rock,2010s,"C, G, Am, F, Dm, C/E, G/B",7
Highwayman,The Highwaymen,,Folk,1990s,"Am, G, F, C, Dm, G/B, C/E",7
I Want To Hate You,Candy Hearts,,Rock,2010s,"C, G, Am, C/E, F, G/B, Dm",7
Just a Man,The Classic Crime,,Rock,2000s,"Am, C, G/B, F, C/E, G, Dm",7
Just The Way I Am,Big Daddy Weave,,Rock,2000s,"Am, C, Dm, F, G, C/E, G/B",7
La Bicicleta,Carlos Vives,,Pop,2010s,"C, G/B, Am, F, C/E, Dm, G",7
Learning To Fall,Boys Like Girls,,Rock,2000s,"Am, F, C, G/B, G, Dm, C/E",7
Mud Hill,Samiam,,Rock,2000s,"Am, C, Dm, F, G/B, G, C/E",7
Never Forsaken,Hillsong,,Rock,2010s,"C, Dm, Am, F, G, G/B, C/E",7
Sabor Dos Ventos,Victor e Leo,,Rock,2010s,"Am, C, G, F, G/B, Dm, C/E",7
Save Your Soul,Jamie Cullum,,Soul,2010s,"F, G, Am, G/B, C, C/E, Dm",7
Shine On Us,Bethel Music,,Rock,2010s,"C, Dm, F, Am, G, C/E, G/B",7
Southpaw,Rainer Maria,,Rock,2000s,"Am, F, C, G, Dm, G/B, C/E",7
Stars In The Sky,Kari Jobe,,Folk,2010s,"F, C/E, Am, G, C, G/B, Dm",7
The Real World,Owl City,,Pop,2010s,"G/B, C/E, F, C, G, Dm, Am",7
Through The Cross,Ben Cantelon,,Pop,2010s,"C, G/B, Am, F, G, C/E, Dm",7
Today Is The Day,Paul Baloche,,Rock,2000s,"C, C/E, F, Am, Dm, G/B, G",7
Todo Poderoso,Cassiane,,Pop,2000s,"Am, F, C, G, G/B, Dm, C/E",7
True Brew,Millencolin,,Rock,2010s,"C, G, Am, F, Dm, C/E, G/B",7
Worlds On Fire,The Henningsens,,Pop,2010s,"Am, G, F, C/E, C, G/B, Dm",7
As Long As You Love Me,Backstreet Boys,,Rock,1990s,"Am, F, G, C, C/E, Dm",6
Baby girl,Sugarland,,Folk,2000s,"C, G, F, Am, Dm, G/B",6
Dammit,Blink-182,,Rock,1990s,"C, G, Am, F, Dm, C/E",6
Home,Phillip Phillips,,Pop,2010s,"C, F, Am, G/B, G, C/E",6
