SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Dressin Up,Katy Perry,,Pop,2010s,"Am, F, Dm, E",4
Going nowhere,Little Mix,,Pop,2010s,"Am, F, Dm, E",4
Horse To The Water,George Harrison,,Rock,2000s,"Am, F, E, Dm",4
If You Seek Amy,Britney Spears,,Elect,2000s,"Am, E, F, Dm",4
Misery,Green Day,,Rock,2000s,"Am, E, Dm, F",4
Sucker For Pain,Lil Wayne,,HipHop,2010s,"Am, Dm, F, E",4
This I Love,Guns N' Roses,,Rock,2000s,"Am, F, Dm, E",4
Ako Umram Il Zaginam,Jonce Hristovski,,Folk,1960s,"Am, Dm, E, F",4
Bensonhurst Blues,Oscar Benton,,Sndtrk,1970s,"Am, Dm, E, F",4
Chica Solitaria,Lone Star,,Rock,1970s,"Am, F, Dm, E",4
Jeritan Batinku,P. Ramlee,,Pop,1970s,"Am, F, E, Dm",4
Joget Bujang Di Rantau,Black Dog Bone,,Soul,1970s,"Am, E, F, Dm",4
Moliendo Café,Javier Solís,,Latin,1970s,"Am, Dm, F, E",4
Päivän Työ,Olavi Virta,,Pop,1970s,"Am, E, F, Dm",4
Sixteen Tons,Tennessee Ernie Ford,,Soul,1950s,"Am, F, E, Dm",4
Yellow Raven,Scorpions,,Rock,1970s,"Am, Dm, E, F",4
80 Veces,Rozalén,,Pop,2010s,"Am, Dm, E, F",4
Adormecido,Toranja,,Rock,2000s,"Am, F, Dm, E",4
All The Rowboats,Regina Spektor,,Rock,2010s,"Am, E, F, Dm",4
Al Sol De Medio Dia,Fernando Delgadillo,,Latin,1990s,"Am, F, E, Dm",4
Apocalipse,Egotrip,,Rock,1980s,"Am, Dm, F, E",4
Babado Novo,Babado Novo,,Latin,2000s,"Am, E, Dm, F",4
Back To Black,Amy Winehouse,,Soul,2000s,"Am, Dm, F, E",4
Bésame,El Tri,,Rock,2000s,"E, Am, Dm, F",4
Bir Könül Sındırmışam,Şövkət Ələkbərova,,Pop,1990s,"Am, F, Dm, E",4
Canalla,El Canto del Loco,,Pop,2000s,"E, Am, F, Dm",4
Canción Húmeda,Iván Ferreiro,,Rock,2000s,"Am, E, Dm, F",4
Caradura,Julio de la Rosa,,Rock,2000s,"Am, F, Dm, E",4
Cariño Malo,Douglas,,Latin,1990s,"Am, E, F, Dm",4
Charlie,Contalgen Funeral,,Rock,2010s,"Am, Dm, E, F",4
Como Los Olivos,Bebe,,Rock,2000s,"Am, Dm, F, E",4
