SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Turn the Page,Bob Seger,,Rock,1970s,"Em, D, A, C",4
We Will Rock You,Queen,,Rock,1970s,"Em, D, C, A",4
Beat It,Michael Jackson,,Soul,1980s,"A, Em, D, C",4
Hey There Delilah,Plain White T's,,Rock,2000s,"A, C, Em, D",4
In Bloom,Nirvana,,Rock,1990s,"Em, A, D, C",4
If You Can Want,Smokey Robinson,,Soul,1960s,"Em, D, A, C",4
Found Out About You,Gin Blossoms,,Rock,1980s,"C, D, Em, A",4
Say It Right,Nelly Furtado,,Pop,2000s,"Em, D, C, A",4
Sparrow,Simon & Garfunkel,,Rock,1960s,"Em, D, C, A",4
28 Thousand Days,Alicia Keys,,Pop,2010s,"Em, A, C, D",4
Blue,R.E.M.,,Rock,2010s,"Em, D, C, A",4
Fall Dog Bombs The Moon,David Bowie,,Rock,2000s,"D, Em, C, A",4
History,Jay-Z,,HipHop,2000s,"Em, C, D, A",4
Lights Come On,Jason Aldean,,Folk,2010s,"Em, D, C, A",4
Of The Night,Bastille,,Rock,2010s,"Em, C, D, A",4
Raised By Wolves,U2,,Rock,2010s,"Em, A, D, C",4
Stop Me If You Think You've Heard This One Before,The Smiths,,Rock,1980s,"A, Em, C, D",4
Turn the Page,Metallica,,Rock,1990s,"Em, D, A, C",4
Work Bitch,Britney Spears,,Pop,2010s,"Em, C, D, A",4
Alone,Ricky Nelson,,Pop,1960s,"A, D, C, Em",4
Atrás da Morte,Banda de Pau e Corda,,Latin,1970s,"Em, A, C, D",4
Don't Beat Me Down,Gordon Lightfoot,,Rock,1960s,"Em, A, C, D",4
In The Hot Sun Of A Christmas Day,Caetano Veloso,,Latin,1970s,"Em, A, C, D",4
Marlborough Street Blues,Ian & Sylvia,,Folk,1960s,"D, C, A, Em",4
Nikkólína,Savanna Tríóið,,Folk,1960s,"D, C, A, Em",4
Nunca Mais,Odair José,,Latin,1970s,"A, C, D, Em",4
True Grit,Glen Campbell,,Folk,1960s,"D, Em, A, C",4
Trust,The Pretty Things,,Rock,1960s,"A, Em, D, C",4
Turn The Page,Bob Seger And The Silver Bullet Band,,Rock,1970s,"Em, D, A, C",4
You Must Be A Witch,The Lollipop Shoppe,,Rock,1960s,"Em, D, A, C",4
Alone,Avril Lavigne,,Rock,2000s,"A, D, C, Em",4
Alright Down Get Boogie,Barclay James Harvest,,Rock,1980s,"Em, C, A, D",4
Always For You,The Album Leaf,,Rock,2000s,"C, A, Em, D",4
Antarctica,Midnight Oil,,Rock,1990s,"C, Em, D, A",4
Apocalyptic,Halestorm,,Rock,2010s,"Em, A, D, C",4
Are We Awake,Tal,,HipHop,2010s,"Em, A, C, D",4
Ashes To Ashes,Steve Earle,,Rock,2000s,"Em, A, C, D",4
A Travers Le Miroir,Novelists,,Rock,2010s,"Em, C, D, A",4
Baruch Hashem,Lamb,,Folk,1980s,"Em, A, C, D",4
Be Quiet And Drive Far Away,Deftones,,Rock,1990s,"Em, C, A, D",4
Breakdown,Seether,,Rock,2000s,"Em, D, C, A",4
Burned With Desire,Armin Van Buuren,,Elect,2000s,"Em, C, D, A",4
Can't Take It Back,Lissie,,Folk,2010s,"Em, D, C, A",4
Cinema,Skrillex,,Elect,2010s,"Em, C, D, A",4
Circle,Slipknot,,Rock,2000s,"Em, D, A, C",4
Clean Sheets,Smudge,,Rock,1990s,"D, A, C, Em",4
