SONG,ARTIST,VID,GENRE,DECADE,Chords,#
Twist And Shout,The Beatles,,Rock,1960s,"C, G, F",3
Hound Dog,Elvis Presley,,Rock,1950s,"C, F, G",3
Bad Moon Rising,Creedence Clearwater Revival,,Rock,1960s,"C, G, F",3
Bossa Nova Baby,Elvis Presley,,Rock,1960s,"C, F, G",3
Down On The Corner,Creedence Clearwater Revival,,Rock,1960s,"C, G, F",3
Honky Tonk Women,The Rolling Stones,,Rock,1960s,"C, F, G",3
Imagine,John Lennon,,Rock,1970s,"C, F, G",3
I Really Don't Want To Know,Elvis Presley,,Folk,1970s,"C, F, G",3
I Walk The Line,Johnny Cash,,Rock,1950s,"G, C, F",3
Join Together,The Who,,Rock,1970s,"G, F, C",3
Promised Land,Elvis Presley,,Rock,1970s,"C, F, G",3
Rock And Roll,Led Zeppelin,,Rock,1970s,"C, F, G",3
Shambala,Three Dog Night,,Soul,1970s,"G, F, C",3
Shilo,Neil Diamond,,Pop,1960s,"C, F, G",3
Spanish Harlem,Aretha Franklin,,Soul,1970s,"C, F, G",3
Spanish Harlem,Ben E. King,,Pop,1960s,"C, F, G",3
The Last Time,The Rolling Stones,,Rock,1960s,"G, F, C",3
Way down,Elvis Presley,,Rock,1970s,"C, F, G",3
All Apologies,Nirvana,,Rock,1990s,"C, F, G",3
American Idiot,Green Day,,Rock,2000s,"G, C, F",3
Born This Way,Lady Gaga,,Pop,2010s,"G, F, C",3
Chicken Fried,Zac Brown Band,,Folk,2000s,"C, G, F",3
Common People,Pulp,,Pop,1990s,"C, G, F",3
Desire,U2,,Rock,1980s,"F, C, G",3
Gett Off,Prince,,Soul,1990s,"C, F, G",3
Glory Days,Bruce Springsteen,,Rock,1980s,"C, F, G",3
Good Time,Alan Jackson,,Folk,2000s,"G, C, F",3
Highway 20 Ride,Zac Brown Band,,Rock,2000s,"C, F, G",3
How You Remind Me,Nickelback,,Rock,2000s,"F, C, G",3
It Must Be Love,Alan Jackson,,Folk,1990s,"C, F, G",3
I Write Sins Not Tragedies,Panic! At the Disco,,Rock,2000s,"F, C, G",3
Late In The Evening,Paul Simon,,Sndtrk,1980s,"F, C, G",3
Ours,Taylor Swift,,Rock,2010s,"C, G, F",3
Rhythm Of My Heart,Rod Stewart,,Rock,1990s,"C, F, G",3
She's So Cold,The Rolling Stones,,Rock,1980s,"G, C, F",3
Some beach,Blake Shelton,,Folk,2000s,"C, G, F",3
Some Nights,Fun.,,Rock,2010s,"C, F, G",3
Soul Kiss,Olivia Newton-John,,Rock,1980s,"G, C, F",3
Stupid Boy,Keith Urban,,Rock,2000s,"F, C, G",3
Toes,Zac Brown Band,,Rock,2000s,"C, F, G",3
Unpretty,TLC,,HipHop,1990s,"C, G, F",3
What Makes You Beautiful,One Direction,,Rock,2010s,"C, F, G",3
When The Sun Goes Down,Kenny Chesney,,Folk,2000s,"C, F, G",3
Your Love,Nicki Minaj,,HipHop,2010s,"F, C, G",3
Am I Losing You,Jim Reeves,,Folk,1950s,"C, F, G",3
Back Off Boogaloo,Ringo Starr,,Rock,1970s,"C, F, G",3
Ball Of Fire,Tommy James and The Shondells,,Pop,1960s,"C, F, G",3
Bitter Bad,Melanie,,Rock,1970s,"C, G, F",3
Bottle Of Wine,The Fireballs,,Rock,1960s,"C, G, F",3
California Sun,The Rivieras,,Rock,1960s,"C, F, G",3
Charlie Brown,The Coasters,,Rock,1950s,"C, F, G",3
Come A Little Bit Closer,Jay & The Americans,,Rock,1960s,"F, C, G",3
Cook With Honey,Judy Collins,,Pop,1970s,"C, F, G",3
Dang Me,Roger Miller,,Folk,1960s,"C, F, G",3
Devil Woman,Marty Robbins,,Folk,1960s,"C, G, F",3
Going Up The Country,Canned Heat,,Rock,1960s,"C, F, G",3
He'll Have To Go,Jim Reeves,,Rock,1950s,"C, F, G",3
I Fall To Pieces,Patsy Cline,,Folk,1950s,"G, C, F",3
I Like The Way,Tommy James And The Shondells,,Rock,1960s,"C, F, G",3
Jim Dandy,Black Oak Arkansas,,Rock,1970s,"C, F, G",3
King Of The Road,Roger Miller,,Pop,1960s,"C, F, G",3
La Bamba,Ritchie Valens,,Pop,1950s,"C, F, G",3
Let's Dance,Chris Montez,,Rock,1960s,"C, F, G",3
Little Boy Sad,Johnny Burnette,,Rock,1960s,"C, G, F",3
Low Rider,War,,Soul,1970s,"G, F, C",3
Margaritaville,Jimmy Buffett,,Rock,1970s,"C, G, F",3
Mississippi Queen,Mountain,,Rock,1970s,"G, F, C",3
North To Alaska,Johnny Horton,,Folk,1950s,"C, G, F",3
Paper Roses,Marie Osmond,,Pop,1970s,"C, G, F",3
Pony Time,Chubby Checker,,Rock,1960s,"C, F, G",3
Pretty Flamingo,Manfred Mann,,Rock,1960s,"C, F, G",3
Ruby Ann,Marty Robbins,,Folk,1960s,"C, G, F",3
Speak To The Sky,Rick Springfield,,Rock,1970s,"C, F, G",3
Sweet Pea,Tommy Roe,,Rock,1960s,"C, F, G",3
Take The Money and Run,Steve Miller Band,,Rock,1970s,"G, F, C",3
Tallahassee Lassie,Freddy Cannon,,Rock,1950s,"C, F, G",3
The Lion Sleeps Tonight,The Tokens,,Rock,1960s,"C, F, G",3
The Streak,Ray Stevens,,Folk,1970s,"G, F, C",3
Waterloo,Stonewall Jackson,,Folk,1950s,"C, F, G",3
Whole Lotta Loving,Fats Domino,,Rock,1950s,"C, F, G",3
Whole Lotta Shakin' Goin' On,Jerry Lee Lewis,,Blues,1950s,"C, F, G",3
Wildwood Weed,Jim Stafford,,Folk,1970s,"C, G, F",3
Without You,Johnny Tillotson,,Pop,1960s,"C, F, G",3
Yummy Yummy Yummy,Ohio Express,,Rock,1960s,"G, F, C",3
A Life Of Illusion,Joe Walsh,,Rock,1980s,"C, F, G",3
All The Small Things,Blink-182,,Rock,1990s,"C, F, G",3
A Thousand Miles,Vanessa Carlton,,Rock,2000s,"F, C, G",3
Barefoot Blue Jean Night,Jake Owen,,Folk,2010s,"C, G, F",3
Because I Got High,Afroman,,HipHop,2000s,"C, F, G",3
Chasing Cars,Snow Patrol,,Rock,2000s,"C, G, F",3
Clumsy,Fergie,,Pop,2000s,"C, G, F",3
Crazy,K-Ci & JoJo,,Soul,2000s,"C, F, G",3
Funky Cold Medina,Tone Loc,,HipHop,1980s,"G, F, C",3
Give It Away,George Strait,,Folk,2000s,"C, F, G",3
Hand In My Pocket,Alanis Morissette,,Rock,1990s,"G, F, C",3
Hanginaround,Counting Crows,,Rock,1990s,"F, C, G",3
Home,Phillip Phillips,,Pop,2010s,"C, F, G",3
How Bizarre,OMC,,HipHop,1990s,"C, G, F",3
If I Die Young,The Band Perry,,Folk,2010s,"F, C, G",3
I Never Told You,Colbie Caillat,,Pop,2000s,"G, F, C",3
